,flow,src,src_port,dst,dst_port,feduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,label
0,100_192.168.1.13_192.168.1.20_2404_49259_TCP_c_rp_na_1_normal,192.168.1.13,2404,192.168.1.20,49259,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677797.006198,0,1716677797.006198,1716677797.006198,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.13_192.168.1.20_2404_49368_TCP_c_se_na_1_DoS_normal,192.168.1.13,2404,192.168.1.20,49368,0.005817652,3,0,264,0,88,0,88,0,88.0,,0.0,,0.0058176517486572266,0.0,0.002885103225708008,0,0.0029325485229492188,0.0029325485229492188,0.0029088258743286133,,3.354889141467165e-05,,3,0,0,0,0,0,515.6719583777098,0.0,515.6719583777098,45379.13233723846,88,88,88.0,0.0,0.002885103225708008,0.0029325485229492188,0.0029088258743286133,3.354889141467165e-05,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.13_192.168.1.20_2404_49403_TCP_c_ci_na_1_DoS_normal,192.168.1.13,2404,192.168.1.20,49403,0.005623818,3,0,264,0,88,0,88,0,88.0,,0.0,,0.005623817443847656,0.0,0.002443552017211914,0,0.003180265426635742,0.003180265426635742,0.002811908721923828,,0.0005209350475946503,,3,0,0,0,0,0,533.4454279992702,0.0,533.4454279992702,46943.19766393578,88,88,88.0,0.0,0.002443552017211914,0.003180265426635742,0.002811908721923828,0.0005209350475946503,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.13_192.168.1.20_2404_49528_TCP_c_se_na_1_normal,192.168.1.13,2404,192.168.1.20,49528,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677798.0727124,0,1716677798.0727124,1716677798.0727124,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.13_192.168.1.20_2404_49672_TCP_c_sc_na_1_DoS_normal,192.168.1.13,2404,192.168.1.20,49672,0.021166325,6,0,528,0,88,0,88,0,88.0,,0.0,,0.021166324615478516,0.0,0.0034012794494628906,0,0.006158351898193359,0.006158351898193359,0.004233264923095703,,0.0011820112283224484,,6,0,0,0,0,0,283.46914261214454,0.0,283.46914261214454,24945.28454986872,88,88,88.0,0.0,0.0034012794494628906,0.006158351898193359,0.004233264923095703,0.0011820112283224484,0,0,0,6,6,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.13_192.168.1.20_2404_50711_TCP_c_rd_na_1_DoS_normal,192.168.1.13,2404,192.168.1.20,50711,0.011900663,5,0,440,0,88,0,88,0,88.0,,0.0,,0.011900663375854492,0.0,0.002801656723022461,0,0.0032477378845214844,0.0032477378845214844,0.002975165843963623,,0.00019961586339775115,,5,0,0,0,0,0,420.14465916730853,0.0,420.14465916730853,36972.730006723155,88,88,88.0,0.0,0.002801656723022461,0.0032477378845214844,0.002975165843963623,0.00019961586339775115,0,0,0,5,5,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.13_192.168.1.29_2404_36053_TCP_c_sc_na_1_c_sc_na_1,192.168.1.13,2404,192.168.1.29,36053,0.00526905,3,0,264,0,88,0,88,0,88.0,,0.0,,0.005269050598144531,0.0,0.002541065216064453,0,0.002727985382080078,0.002727985382080078,0.0026345252990722656,,0.0001321725169301637,,3,0,0,0,0,0,569.3625985708999,0.0,569.3625985708999,50103.90867423919,88,88,88.0,0.0,0.002541065216064453,0.002727985382080078,0.0026345252990722656,0.0001321725169301637,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,9
0,100_192.168.1.13_192.168.1.29_2404_42527_TCP_c_se_na_1_DoS_c_se_na_1_DoS,192.168.1.13,2404,192.168.1.29,42527,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677799.4619982,0,1716677799.4619982,1716677799.4619982,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,1
0,100_192.168.1.13_192.168.1.29_2404_45625_TCP_c_sc_na_1_c_sc_na_1,192.168.1.13,2404,192.168.1.29,45625,0.003144503,2,0,176,0,88,0,88,0,88.0,,0.0,,0.003144502639770508,0.0,0.003144502639770508,0,0.003144502639770508,0.003144502639770508,0.003144502639770508,,,,2,0,0,0,0,0,636.0305587242245,0.0,636.0305587242245,55970.689167731754,88,88,88.0,0.0,0.003144502639770508,0.003144502639770508,0.003144502639770508,,0,0,0,2,2,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,9
0,100_192.168.1.19_192.168.1.20_2404_49262_TCP_c_rp_na_1_normal,192.168.1.19,2404,192.168.1.20,49262,0.021213769,9,0,792,0,88,0,88,0,88.0,,0.0,,0.021213769912719727,0.0,0.0024704933166503906,0,0.0031468868255615234,0.0031468868255615234,0.002651721239089966,,0.00024368799633960012,,9,0,0,0,0,0,424.2527577254188,0.0,424.2527577254188,37334.242679836854,88,88,88.0,0.0,0.0024704933166503906,0.0031468868255615234,0.002651721239089966,0.00024368799633960012,0,0,0,9,9,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.19_192.168.1.20_2404_49413_TCP_c_ci_na_1_DoS_normal,192.168.1.19,2404,192.168.1.20,49413,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677800.4815571,0,1716677800.4815571,1716677800.4815571,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.19_192.168.1.20_2404_49529_TCP_c_se_na_1_normal,192.168.1.19,2404,192.168.1.20,49529,0.005460263,3,0,264,0,88,0,88,0,88.0,,0.0,,0.005460262298583984,0.0,0.0027170181274414062,0,0.002743244171142578,0.002743244171142578,0.002730131149291992,,1.8544613344793375e-05,,3,0,0,0,0,0,549.4240845175407,0.0,549.4240845175407,48349.31943754358,88,88,88.0,0.0,0.0027170181274414062,0.002743244171142578,0.002730131149291992,1.8544613344793375e-05,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.19_192.168.1.20_2404_49607_TCP_c_ci_na_1_normal,192.168.1.19,2404,192.168.1.20,49607,0.005810737,3,0,264,0,88,0,88,0,88.0,,0.0,,0.005810737609863281,0.0,0.002895832061767578,0,0.002914905548095703,0.002914905548095703,0.0029053688049316406,,1.348699152348609e-05,,3,0,0,0,0,0,516.2856277955791,0.0,516.2856277955791,45433.13524601096,88,88,88.0,0.0,0.002895832061767578,0.002914905548095703,0.0029053688049316406,1.348699152348609e-05,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.19_192.168.1.20_2404_49753_TCP_c_rd_na_1_normal,192.168.1.19,2404,192.168.1.20,49753,0.010611534,5,0,440,0,88,0,88,0,88.0,,0.0,,0.010611534118652344,0.0,0.0025386810302734375,0,0.0028061866760253906,0.0028061866760253906,0.002652883529663086,,0.00011767641630980765,,5,0,0,0,0,0,471.18541013957076,0.0,471.18541013957076,41464.31609228223,88,88,88.0,0.0,0.0025386810302734375,0.0028061866760253906,0.002652883529663086,0.00011767641630980765,0,0,0,5,5,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.19_192.168.1.20_2404_50413_TCP_c_rp_na_1_DoS_normal,192.168.1.19,2404,192.168.1.20,50413,0.011813164,5,0,440,0,88,0,88,0,88.0,,0.0,,0.011813163757324219,0.0,0.0025053024291992188,0,0.0037055015563964844,0.0037055015563964844,0.0029532909393310547,,0.0005205735959469436,,5,0,0,0,0,0,423.25663133094577,0.0,423.25663133094577,37246.583557123224,88,88,88.0,0.0,0.0025053024291992188,0.0037055015563964844,0.0029532909393310547,0.0005205735959469436,0,0,0,5,5,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.19_192.168.1.20_2404_50713_TCP_c_rd_na_1_DoS_normal,192.168.1.19,2404,192.168.1.20,50713,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677802.1743317,0,1716677802.1743317,1716677802.1743317,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.19_192.168.1.29_2404_36727_TCP_c_sc_na_1_c_sc_na_1,192.168.1.19,2404,192.168.1.29,36727,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677802.4933028,0,1716677802.4933028,1716677802.4933028,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,9
0,100_192.168.1.20_192.168.1.13_49259_2404_TCP_c_rp_na_1_normal,192.168.1.20,49259,192.168.1.13,2404,0.005556822,3,0,264,0,88,0,88,0,88.0,,0.0,,0.005556821823120117,0.0,0.0027685165405273438,0,0.0027883052825927734,0.0027883052825927734,0.0027784109115600586,,1.3992753705616818e-05,,3,0,0,0,0,0,539.8769296551158,0.0,539.8769296551158,47509.169809650186,88,88,88.0,0.0,0.0027685165405273438,0.0027883052825927734,0.0027784109115600586,1.3992753705616818e-05,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_49528_2404_TCP_c_se_na_1_normal,192.168.1.20,49528,192.168.1.13,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677803.1596236,0,1716677803.1596236,1716677803.1596236,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_49672_2404_TCP_c_sc_na_1_DoS_normal,192.168.1.20,49672,192.168.1.13,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677803.4813285,0,1716677803.4813285,1716677803.4813285,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_49729_2404_TCP_c_sc_na_1_normal,192.168.1.20,49729,192.168.1.13,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677803.8008423,0,1716677803.8008423,1716677803.8008423,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_49752_2404_TCP_c_rd_na_1_normal,192.168.1.20,49752,192.168.1.13,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677804.1181874,0,1716677804.1181874,1716677804.1181874,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_50412_2404_TCP_c_rp_na_1_DoS_normal,192.168.1.20,50412,192.168.1.13,2404,0.010842562,5,0,440,0,88,0,88,0,88.0,,0.0,,0.010842561721801758,0.0,0.0024886131286621094,0,0.002910137176513672,0.002910137176513672,0.0027106404304504395,,0.0001947412698453896,,5,0,0,0,0,0,461.14562222471034,0.0,461.14562222471034,40580.81475577451,88,88,88.0,0.0,0.0024886131286621094,0.002910137176513672,0.0027106404304504395,0.0001947412698453896,0,0,0,5,5,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.13_50711_2404_TCP_c_rd_na_1_DoS_normal,192.168.1.20,50711,192.168.1.13,2404,0.010860205,5,0,440,0,88,0,88,0,88.0,,0.0,,0.010860204696655273,0.0,0.0024352073669433594,0,0.003025531768798828,0.003025531768798828,0.0027150511741638184,,0.00031061017632452243,,5,0,0,0,0,0,460.39646581256983,0.0,460.39646581256983,40514.888991506145,88,88,88.0,0.0,0.0024352073669433594,0.003025531768798828,0.0027150511741638184,0.00031061017632452243,0,0,0,5,5,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49262_2404_TCP_c_rp_na_1_normal,192.168.1.20,49262,192.168.1.19,2404,0.005309104,3,0,264,0,88,0,88,0,88.0,,0.0,,0.005309104919433594,0.0,0.0025877952575683594,0,0.0027213096618652344,0.0027213096618652344,0.002654552459716797,,9.440894066440263e-05,,3,0,0,0,0,0,565.0670998345483,0.0,565.0670998345483,49725.90478544025,88,88,88.0,0.0,0.0025877952575683594,0.0027213096618652344,0.002654552459716797,9.440894066440263e-05,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49369_2404_TCP_c_se_na_1_DoS_normal,192.168.1.20,49369,192.168.1.19,2404,0.013104199,6,0,528,0,88,0,88,0,88.0,,0.0,,0.01310420036315918,0.0,0.00247955322265625,0,0.0028581619262695312,0.0028581619262695312,0.002620840072631836,,0.0001615225255891543,,6,0,0,0,0,0,457.8685045915435,0.0,457.8685045915435,40292.42840405583,88,88,88.0,0.0,0.00247955322265625,0.0028581619262695312,0.002620840072631836,0.0001615225255891543,0,0,0,6,6,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49413_2404_TCP_c_ci_na_1_DoS_normal,192.168.1.20,49413,192.168.1.19,2404,0.005213976,3,0,264,0,88,0,88,0,88.0,,0.0,,0.00521397590637207,0.0,0.0024907588958740234,0,0.002723217010498047,0.002723217010498047,0.002606987953186035,,0.00016437270919248672,,3,0,0,0,0,0,575.3766415495583,0.0,575.3766415495583,50633.14445636113,88,88,88.0,0.0,0.0024907588958740234,0.002723217010498047,0.002606987953186035,0.00016437270919248672,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49529_2404_TCP_c_se_na_1_normal,192.168.1.20,49529,192.168.1.19,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677806.2149696,0,1716677806.2149696,1716677806.2149696,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49670_2404_TCP_c_sc_na_1_DoS_normal,192.168.1.20,49670,192.168.1.19,2404,1.0,1,0,88,0,88,0,88,0,88.0,,,,0.0,0.0,1716677806.539675,0,1716677806.539675,1716677806.539675,,,,,1,0,0,0,0,0,1.0,1.0,1.0,88.0,88,88,88.0,,0.0,0.0,,,0,0,0,1,1,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
0,100_192.168.1.20_192.168.1.19_49732_2404_TCP_c_sc_na_1_normal,192.168.1.20,49732,192.168.1.19,2404,0.006042481,3,0,264,0,88,0,88,0,88.0,,0.0,,0.00604248046875,0.0,0.0027151107788085938,0,0.0033273696899414062,0.0033273696899414062,0.003021240234375,,0.0004329324279039035,,3,0,0,0,0,0,496.4848048343057,0.0,496.4848048343057,43690.6628254189,88,88,88.0,0.0,0.0027151107788085938,0.0033273696899414062,0.003021240234375,0.0004329324279039035,0,0,0,3,3,0,0,0,1,88.0,48.0,0,0,0,,0,0,0,0
